Product,Year,Production,Value
Acai,2022,247034,157723940
Acai,2021,227118,146484680
Acai,2020,220489,131918140
Acai,2019,,
Acai,2018,,
Acai,2017,,
Acai,2016,215631,97811050
Acai,2015,216071,91321030
Acai,2014,198150,80191970
Acai,2013,202216,77842620
Acai,2012,199116,63884460
Acai,2011,215231,57833340
Acai,2010,124261,34036220
Acai,2009,115767,30459280
Acai,2008,120640,25371460
Acai,2007,107830,20237280
Acai,2006,101340,19610660
Acai,2005,104874,15811800
Acai,2004,101030,19195700
Acai,2003,144530,13410580
Acai,2002,131959,15750810
Acai,2001,123135,12700550
Acai,2000,121800,11267570
