Product,Year,Production,Value
Nuts,2022,40374,35388640
Nuts,2021,32537,26108090
Nuts,2020,33118,18724690
Nuts,2019,23360,
Nuts,2018,34170,
Nuts,2017,32910,
Nuts,2016,34903,20984930
Nuts,2015,40642,20414360
Nuts,2014,37498,15117350
Nuts,2013,38300,13690450
Nuts,2012,38805,13003030
Nuts,2011,42151,13186760
Nuts,2010,40356,10486860
Nuts,2009,37468,9929590
Nuts,2008,30814,8689080
Nuts,2007,30406,8643480
Nuts,2006,28805,8342520
Nuts,2005,30555,8864640
Nuts,2004,27059,5825590
Nuts,2003,24895,4671720
Nuts,2002,27389,5772010
Nuts,2001,28467,5262050
Nuts,2000,33431,3525640
